Object code,COM pixel X coordinate,COM pixel Y coordinate,COM mass,Bounding box (BB) left X coordinate,BB top  Y coordinate,BB bottom Y coordinate,White tape measurement,Yellow tape measurement
L,305,294,998,25,209,347,316,70,0
L,310,294,993,26,210,347,316,70,0
L,311,300,1110,26,203,349,323,65,0
L,313,306,1368,25,210,352,331,60,0
L,320,315,1597,25,209,355,341,55,0
L,318,322,1993,25,203,357,352,50,0
L,330,332,2405,30,200,367,363,45,0
L,327,346,3146,28,201,366,380,40,0
L,333,362,4209,28,206,373,402,35,0
L,330,387,5586,27,201,375,431,30,0
L,151,309,1174,9,210,172,328,70,20
L,151,314,1352,131,294,173,334,65,20
L,150,320,1611,128,299,174,342,60,20
L,151,327,1909,127,304,177,351,55,20
L,150,334,2286,123,309,179,360,50,20
L,151,345,2896,9,212,183,374,45,20
L,154,358,3647,120,326,189,390,40,20
L,158,376,4959,118,338,199,413,35,20
L,163,393,6291,118,350,209,434,30,20
